lon,lat,weapontype,attacktype,targettype
-56.19,-34.89,3514,1451,2585
-74.01,40.71,1137,683,1326
-74.01,40.71,1137,1427,98
-5.93,54.6,1198,398,2644
51.42,35.7,1198,398,725
-76.61,39.29,1482,1146,2644
27.13,38.42,1137,683,2104
-123.07,44.04,1137,683,1089
-76.62,39.16,1482,1146,1206
32.87,39.92,1137,683,1326
32.87,39.92,1137,683,725
-71.24,46.8,3514,1451,1327
-87.63,41.88,1137,683,2644
-81.24,37.26,1137,683,1089
32.87,39.92,1482,398,2104
-74.01,40.71,1137,683,3290
-122.33,47.6,1137,683,2104
-119.7,34.42,1137,683,2104
-122.53,37.97,1137,683,1327
-122.27,37.87,1137,683,1089
-56.19,-34.89,1482,1146,725
9.18,48.78,1137,683,1326
-95.37,29.76,1137,683,3269
-71.24,46.8,1198,1451,1327
51.42,35.7,3514,1427,98
-73.79,40.73,1137,683,1327
-71.11,42.37,1137,683,1089
11.58,48.14,1137,683,2585
-71.11,42.37,1137,683,1089
-56.19,-34.89,1482,1146,1713
-56.19,-34.89,1482,1146,725
-56.19,-34.89,1482,1146,98
-56.19,-34.89,1482,1146,725
-94.58,39.1,1137,683,2585
-58.38,-34.6,1482,1146,1327
11.58,48.14,1137,683,2585
-117.79,33.68,1137,683,1089
-117.79,33.68,1137,683,1089
-58.38,-34.6,1137,683,1326
-89.18,37.01,1482,1146,1327
144.96,-37.81,1137,683,1326
-89.18,37.01,1198,398,2585
-122.42,37.78,1137,683,2763
-83.05,42.33,1198,398,2585
12.49,41.89,773,3438,1089
-89.18,37.01,1482,1146,725
-89.18,37.01,1198,398,2585
-77.03,38.89,1137,683,1327
-117.79,33.68,1482,1146,725
-58.38,-34.6,3514,486,2644
32.87,39.92,1137,683,2104
-0.13,51.5,1482,1146,98
-80.26,27.2,1482,1146,1327
-87.9,43.11,1137,683,2585
-117.69,33.63,1482,1146,2104
-73.79,40.73,1137,683,2104
-73.86,40.84,1137,683,2585
-73.79,40.73,1137,683,2104
-73.86,40.84,1137,683,3514
51.42,35.7,3514,1451,1326
67.03,24.89,3536,486,1327
-119.79,36.74,1137,683,1713
-119.79,36.74,1137,683,2104
-80.35,41.0,1198,398,2644
-83.74,42.28,1482,1146,2104
-58.38,-34.6,1198,398,2644
-57.91,-34.86,1198,398,2644
13.4,52.52,1137,683,2763
-89.18,37.01,1482,1146,725
-93.23,44.97,1482,1146,2104
-89.18,37.01,1198,398,2644
8.68,50.11,1482,398,2104
32.87,39.92,1482,1146,98
-87.63,41.88,1482,1146,1327
-66.11,18.47,1137,683,725
-66.11,18.47,1137,683,725
-66.11,18.47,1137,683,725
-66.11,18.47,1137,683,725
-58.38,-34.6,1198,486,2585
-82.64,27.77,2077,3438,2585
-5.93,54.6,1198,398,2644
-82.69,27.81,1482,1146,2585
-58.38,-34.6,1137,683,1327
-58.38,-34.6,1137,683,1327
-58.38,-34.6,1198,398,2104
32.87,39.92,1137,683,1326
-56.19,-34.89,1198,398,725
-122.68,45.51,1137,683,1327
-85.31,35.05,1137,683,2644
120.98,14.6,1137,683,1326
-82.64,27.77,1137,683,3514
-66.11,18.47,1137,683,1326
32.87,39.92,1137,683,1326
-74.01,40.71,1137,683,98
-74.01,40.71,1137,683,3350
-122.26,37.87,1137,683,1089
-66.11,18.47,1137,683,2104
-56.19,-34.89,1482,1146,725
8.68,50.11,1482,398,2104
