category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,year
3672,56,25,0,10,0,1713,1978
3672,84,17,0,18,0,1713,1979
3672,116,34,0,17,3,1713,1980
3672,58,13,1,18,3,1713,1981
3672,58,87,0,62,0,1713,1982
3672,58,7,0,10,0,1713,1983
3672,65,11,0,7,0,1713,1984
3672,55,52,0,42,0,1713,1985
3672,35,6,0,4,0,1713,1986
3672,88,44,0,20,0,1713,1987
3672,67,10,0,7,0,1713,1988
3672,86,33,0,26,0,1713,1989
3672,52,27,0,5,0,1713,1990
3672,73,20,0,16,0,1713,1991
3672,94,30,0,35,0,1713,1992
3672,77,44,0,61,0,1713,1994
3672,74,39,0,30,0,1713,1995
3672,59,50,0,130,0,1713,1996
3672,71,30,0,16,0,1713,1997
3672,8,1,0,6,0,1713,1998
3672,31,24,5,39,0,1713,1999
3672,41,22,0,33,1,1713,2000
3672,44,15,0,67,1,1713,2001
3672,23,6,0,12,0,1713,2002
3672,9,12,3,14,0,1713,2003
3672,23,32,1,43,0,1713,2004
3672,23,24,2,54,0,1713,2005
3672,41,43,1,48,0,1713,2006
3672,41,49,0,24,0,1713,2007
3672,62,25,0,43,0,1713,2008
3672,41,19,1,39,0,1713,2009
3672,53,25,2,57,1,1713,2010
3672,37,19,0,26,0,1713,2011
3672,97,100,4,83,1,1713,2012
3672,171,91,15,102,0,1713,2013
3672,218,77,4,95,0,1713,2014
3672,157,105,15,82,0,1713,2015
3672,2,1,0,0,0,2032,1971
3672,1,1,0,0,0,2032,1972
3672,3,0,0,0,0,2032,1973
3672,2,0,0,2,0,2032,1974
3672,3,0,0,1,0,2032,1975
3672,5,2,0,0,0,2032,1976
3672,1,5,0,8,0,2032,1978
3672,8,2,0,0,0,2032,1979
3672,4,0,0,0,0,2032,1981
3672,2,6,0,70,0,2032,1982
3672,3,1,0,10,0,2032,1983
3672,29,307,0,24,0,2032,1984
3672,11,3,0,0,0,2032,1985
3672,1,0,0,0,0,2032,1986
3672,9,6,0,0,0,2032,1987
3672,7,22,0,86,0,2032,1988
3672,13,39,0,81,0,2032,1989
3672,3,4,0,15,0,2032,1990
3672,11,36,0,3,0,2032,1991
3672,20,46,0,69,0,2032,1992
3672,17,73,0,37,0,2032,1994
3672,6,5,0,4,0,2032,1995
3672,9,14,10,13,0,2032,1996
3672,6,40,0,10,0,2032,1997
3672,1,0,0,0,0,2032,1998
3672,6,2,2,0,0,2032,1999
3672,5,50,1,69,0,2032,2000
3672,7,17,4,5,0,2032,2001
3672,2,0,0,0,0,2032,2002
3672,2,30,0,56,0,2032,2003
3672,5,152,2,24,0,2032,2004
3672,3,2,0,30,0,2032,2005
3672,2,1,0,1,0,2032,2006
3672,5,15,2,2,0,2032,2007
3672,10,4,0,2,0,2032,2008
3672,16,16,0,17,0,2032,2009
3672,6,2,0,9,1,2032,2010
3672,2,3,0,2,0,2032,2011
3672,1,0,0,2,0,2032,2012
3672,10,5,1,9,3,2032,2013
3672,13,2,0,11,0,2032,2014
3672,7,89,0,83,0,2032,2015
3672,85,7,0,9,0,2104,1970
3672,102,63,0,13,0,2104,1971
3672,143,160,3,59,0,2104,1972
3672,89,79,2,2,0,2104,1973
3672,60,63,0,29,0,2104,1974
3672,47,172,100,4,0,2104,1975
3672,92,54,1,84,0,2104,1976
3672,82,50,0,9,0,2104,1977
3672,107,200,13,106,0,2104,1978
3672,207,476,15,193,0,2104,1979
3672,257,1620,30,333,4,2104,1980
3672,457,2107,18,456,2,2104,1981
3672,380,2318,3,356,1,2104,1982
3672,681,4527,15,1147,2,2104,1983
3672,571,3475,40,822,0,2104,1984
3672,513,2523,43,820,1,2104,1985
3672,394,1328,32,587,0,2104,1986
3672,433,1980,0,923,0,2104,1987
3672,529,1852,1,1119,0,2104,1988
3672,614,1990,1,1059,0,2104,1989
3672,398,1319,3,684,1,2104,1990
3672,653,2512,6,1560,0,2104,1991
3672,509,2172,1,887,0,2104,1992
3672,337,1088,22,763,6,2104,1994
3672,220,1026,38,676,1,2104,1995
3672,189,678,5,888,0,2104,1996
3672,147,526,187,439,50,2104,1997
3672,73,865,486,476,10,2104,1998
3672,149,554,54,654,5,2104,1999
3672,207,909,243,1006,11,2104,2000
3672,127,612,145,644,14,2104,2001
3672,170,931,146,723,6,2104,2002
3672,214,726,142,826,24,2104,2003
3672,176,780,74,1420,7,2104,2004
3672,279,946,90,1705,8,2104,2005
3672,221,769,96,1303,0,2104,2006
3672,351,1550,284,2017,54,2104,2007
3672,250,820,136,1035,25,2104,2008
3672,126,348,47,477,6,2104,2009
3672,184,610,79,1069,7,2104,2010
3672,329,1002,277,1350,58,2104,2011
3672,1770,4787,1591,5406,185,2104,2012
3672,2298,4876,1337,5326,233,2104,2013
3672,3690,12426,4858,7642,798,2104,2014
3672,2904,11676,5535,8868,1468,2104,2015
3672,8,0,0,0,0,2352,1970
3672,2,1,0,0,0,2352,1971
3672,1,0,0,0,0,2352,1972
3672,2,1,0,0,0,2352,1973
3672,3,1,0,1,0,2352,1974
3672,3,0,0,0,0,2352,1975
3672,2,0,0,0,0,2352,1976
3672,4,3,0,0,0,2352,1978
3672,8,1,0,1,0,2352,1979
3672,6,9,0,43,0,2352,1980
3672,4,1,0,0,0,2352,1981
3672,4,1,0,0,0,2352,1982
3672,7,3,0,2,0,2352,1983
3672,9,3,0,7,0,2352,1984
3672,9,1,0,2,0,2352,1985
3672,5,2,0,0,0,2352,1986
3672,10,65,0,1,0,2352,1987
3672,14,11,0,17,0,2352,1988
3672,13,2,0,14,0,2352,1989
3672,7,3,0,1,0,2352,1990
3672,22,14,0,7,0,2352,1991
3672,22,7,0,5,0,2352,1992
3672,30,62,0,9,0,2352,1994
3672,30,9,0,11,0,2352,1995
3672,23,42,0,87,0,2352,1996
3672,28,30,0,45,0,2352,1997
3672,4,3,0,3,0,2352,1998
3672,15,89,3,33,3,2352,1999
3672,13,6,0,13,0,2352,2000
3672,16,12,0,7,0,2352,2001
3672,8,28,1,82,0,2352,2002
3672,18,26,0,89,0,2352,2003
